quote;rating;date;fullrev;Hotel;Region;Location;hotelid;Naslov;Lat;Long
Hotel Krvavec;5;3.06.2017;Nice place on realy nice location, nature around, kids friendly, nice staff, a lotmof things to do, they hace an sheppard games, a lot of place to sit, eat and have a good time. Kids can bo occupied here too. Nice view, clean air....;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Hotel woth highest altitude in summer, ski-in, ski-out hotel in winter time;5;25.05.2017;Hotel Krvavec is located close to the international airport, to the capital city Ljubljana, 10km from highway and not more than 1 hour by car to reach all other interesting destinations. In winter time is perfect starting location for winter sports as it stands in a middle of ski resort, in summer time location with beautiful nature, great temperature and fresh air to chill down or to do different sports.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great skiing holidays!;4;26.03.2017;The hotel located in the middle of a ski resort - absolutely perfect for winnter holidays, easy access to all the slopes with a wide range of difficulty levels, ski school, a snow park, a rental and ski service and restaurants. Clean rooms, but very soft beds. Delicious dinners and friendly staff.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great stay!;4;14.07.2016;"We have spent two days in this hotel in July 2016 and we had a great stay. The hotel is simple but cute, very quiet (I slept like a baby due to the quietness and fresh mountain air). The staff is extremly kind and helpfull (especially Natasa), the surroundings and the nature are very beautifull, you can hike, bike... The food is good but a little bit over priced (this is our only complaint); for example, a simple plate of cooked beans with sausage costs 7,5€. Free Wifi is available at the reception and summer terrace (not in the rooms). The gondola is included in the price of your stay so no need to come all the way up with your car (a car sent by the hotel will pick you up in front of gondola and take you to the hotel, it's a fast ride). All in all, we loved our summer stay in this mountain resort and will come again.";Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Another superb break;5;3.04.2016;This was my 3rd visit and once again everyone had a fantastic time. The hotel and location are perfect serving great food. For a 3 day break the skiing is super. Your lift pass is included in the hotel rate which makes it a bargain for skiing. It's a 10minute transfer to the gondola station from the airport and then a jeep meets you at the top to take you to the hotel. Once again Natasa was really helpful in organising everything. I,d highly recommend for a short ski break, I,ve been now with the lads, my son and the family and each trip was excellent.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great family ski hotel!;5;31.03.2016;Wonderfully located in the Krvavec ski resort, this was a fun place to stay for our family of four. Breakfast and dinner were ample, and the lunch options on the mountain were plentiful and all at good value. Excellent staff, very friendly! Look forward to visiting again.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Fantastic experience;5;2.02.2016;Spent 3 nights over Christmas here. Natasa was a fantastic, friendly and helpful host. The staff were friendly and keen to please. Food was delicious and plentiful. We had a fantastic stay. I would have like tea/coffee making facility in our room, but that is my only complaint.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
charming and cosily;4;25.01.2016;"First to explain how to get there;there is reserved parking place for hotel guest near cable car. Than you go to the cable car on special VIP entrance. People who work there will put your lugagge in cable car. When you get to top, go to the place where they sell ski pass and ask them to call hotel. Hotel will send jeep to pick you up, together with your laguagge.Hotel is small but very charming and very decent three star hotel. Rooms are clean and confortable, bathroom is also clean and good size. Just few rooms have balcony, and you can't pay extra to get it. You just get it or not. Food is tasty and fresh. There is not very big choice for vegeterianas but you can manage it. Hotel offers lunch during the lunch time.There is one waiter whose name is Vid and he is handeling all the problems you can have, everything. He smiles all day and nothing is hard for him, great person. There are three sauna in hotel, two are quite small and one is bigger. The bigger ona has outside windows and you can watch snow falling while you are in sauna. That was very nice.Hotel is right on a ski slopes. Be avare that after 4 o clock all bars except Hotel bar don't work. Everything you can buy in hotel and bars are some candy bars, not much of a choice.Good place to spend hollidays.";Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Nice and Highest hotel in SLO;5;18.01.2016;Nice SKI hotel on ski slope. Food is good. Rooms is clean and very good but not luxury for the price. In hotel you have billiard, table soccer and more games for fun. Staff is very polite and pleasure but not organised very well. Very good mountains with nice hotel very close to Zagreb....;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
great staff, great location, good food;4;16.12.2015;Due to the previous bad experience of myself and my friends I became very anxious after I had not found part of clothes I thought I had brought with me. But the hotel staff was very friendly and checked it for me three times without any complaining. Of course I have found it at home. Guess I'm not used to Slovenian safety) I'm sorry I caused such a trouble.The location is really great and the place itself is cosy with nice rooms under the roof. The view is exellent. The food is tasty, not heavy, fish really great and especially deserts are good. The price is reasonable);Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great as a base for a ski trip, but don't expect luxury. Compensated with great staff!;4;22.02.2015;This place goes under two names it seems, Hotel Raj and Hotel Krvavec (the new one I think).This hotel is placed right on the ski slopes, on the midfdle of the hill. It is great place for a skiing weekend, and altough it has many amenities of a great hotel, there are a lot of details that could be worked on.However, I would still recommend it, just bear in mind this is a mountain cabin, and not luxury hotel.If you plan to spend a day inside, then Rating would be Average (3 dots).We got a double bedroom with extra bed, that was just a matrace on the floor. For us, this was not a problem, but I expect taht a company of older people could have a problem with using it. Room was clean, and properly sized for two people, However, for three persons it was cramped. Good thing is that the room has a lot of cupboard space, enough to fit all the winter and ski luggage of 3.Bathroom was clean and warm, but with a ratchety ventilation that made a noise when turned on - it happened to us in a middle of the night when someone pressed wrong switch trying to turn on the bathroom light and woke up everyone else. Location is excellent for skiing, you exit on the slope from the hotel and you can pracitcally ski into your room. However, bear in mind that this is a top of the mountain, practically inaccessible by road without a 4WD in a snow conditions. You can reach it with cable car only, so be very carefull to get to it during working hours. There is a jeep for a guests that will take you from the top of the cablecar to the hotel.Food is good with several dishes and sidedishes for every meal, including vegetarian options. However, be sure not to show up at the end of the meal time. Hordes of hungry skiers will left the buffet empty. Do not hesistate to ask staff about it if you ran into the empty pots, they will refill it for you, altough you might have fewer options. Be sure to taste the cakes, they are excellent!Since this place is on a top of the mountain, there is not much things to do around it in the evening, buit it has game room with darts, billiards, air hockey and table football, boardgames and such. There is also a basic spa on the premises, containing two small saunas. Altough small, it was not crowded. Book in advance.Hotel has free WiFi, but it does not reach the rooms, only the restaurant and reception area.The staff is great. Helpful and friendly, they resolved any problem we had very fast.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great place to stay;5;12.02.2014;Hotel Krvavec is the highest hotel in Slovenia (1600 metres above sea level). Its location is on the right hand side of the ski slope, which enables you to simply step out of the hotel and start skiing. The staff is very helpful and friendly. The rooms are clean and nice.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Nice hotel!;4;24.01.2014;Good location of the hotel on the ski slope. Breakfast and dinner are ok, something for everyone. The girl at the front desk was very nice. The rooms are clean, regularly cleaned and towels changed. Just missing a little bit more fun in the evening when they close the track nowhere any pastime. Any recommendations for this hotel.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Warm, Cute and well served Hotel.;5;2.04.2013;Hotel Raj is a nice hotel in Krvavec town of Julian Alps. The receptionist girl Ms.Barbara Markic is the most friendly and helpful receptionist I have met in my life. If you have questions, she answers everything for you and helps you for outer excursions of Krvavec. Well trained and well informed and kind lady. The food is delicious in the hotel. It is a clean hotel with a nice view of the pistes of the ski resort. Definitely and strongly recommended.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
For hiking and accumulation of natural energy;5;18.09.2012;I was been here with familly at 3 nights in last day of summer: Sun was hot, but mountain was fresh - very nice combination. That is great location for start of any activity and we have hiking on Zvoh 1977 m upper the top of hotel, and second day on Koren 1999 m: with these peaks you can look at half of Slovenia and it is fantastic. If you are go down on different way, you have 4 hour full natural opiates for your body and mind.Hotel was made in woods and has a nice, warm and comfortable rooms. Food was very good and very variety every day. Staff and services was nice and very pleasant, especially if you are also communicative person. Spa part of the hotel is also pretty designed: two saunas - classic and infrared, with showers.All in all: we fell in love with a complete experience.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Good base for skiing vacation;4;16.02.2012;Stayed here for 3 nights for our winter holidays. Great location to go directly from your hotel to ski slopes. Nice, warm and comfortable rooms. Food was very good and very diversive every day. Staff was nice and pleasant. Hotel's special vehicle takes you and your luggage from top cable car station to hotel. Unfortunately internet is not free. Spa part of the hotel is pretty average - two saunas with showers.;Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Great service on top of the mountain;5;9.09.2011;It's situated just under the top of krvavec which u can reach hiking in under an hour.Hotel is in woods so no view on the valley but within minutes on hiking path u'll get fantastic oversight.Service is great, food is good, rooms are nice and cleen. there is summer park nearby and several hiking paths in surroundings.they have differnet games in offer (like ther version of golf), internet is 1€ per hour but once u pay u can usually stay longer :);Hotel Krvavec;Slovenia;Ski_resort;SloveniaSmucisceHotelKrvavec;Ambroz pod Krvavcem 50, 4207 Cerklje na Gorenjskem, Slovenia;46.3006841;14.5259266
Weekend with family ;4;29.03.2017;Nice staf, good food and nice place for kids. Nice aquapark (indore and outdoor swimming pool). Nice kids area for play on different automatic kids machines. Lots of parking space. Nice see side place.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
a rip off;1;21.02.2017;The hotel is literrary falling appart, is overdue and kitchy and they serve brown water for breakfast they call coffee. The room and the bathroom was very clean though. Could not keep the window open because the ventilation under our window was too loud.Fot the quality teribly expencive.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Worse experiance in my life;1;16.02.2017;The room had no curtains. Shutters have been destroyed to such extent that there were no way to dimm the room. The rest of the room was completely worn out.Upon arrival at the dinner we were sent away. That day apparently, dinner, instead of 19h to 21h, wos served from 16h to 18h. Although we checked in the hotel on the same day at 15h, nobody been informed us about the change. Also when I booking the room with breakfast and dinner, no one notified me, that dinner will be served only till 18h a clock. It looks like management often rents dining hall , no regards ti paying hotel guests. Charging guests for dinner, that they can get from 16h to 18h is redicules. The staff had - to question where can we get dinner - reacted very rude. Also from 19h to 21h we could not get to our room, because the only corridor was converted into a dining room for some sports club. The staff never left enough room to walk around the eating guests. Water in the pools, especially the temperature in the premises of the pools wos uncomfotrably low.My wife has got stuck in a broken lift. The alarm in the elevator did not work. I found my wife yelling for help after some time. The phone in the room did not work, so I could not call reception. So I grabbed the sleeping 3 years and 3 months old children, and walked to the front desk. Night concierge - a student - was the only nice and useful person that I encountered on our stay at the hotel. I would like to thank him for quick help and kindness. It is obvious, that the hotel is not maintained for a long time and that the staff is poorly managed.Worse hotel experience in my life.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Nice.;4;15.12.2016;"We spend there 4 nights and we have had a great time spending our litle vacations. The food in a restaurant is good, and a lot of things to choose from. Also the room was clean and did not look like \ it is 40 years old\"" . It is pleasant and comfortable. The only thing than needs to be changed is matresses. Aquapark is clean and a lot to do for kids. There is a lot of place for playing and swiming.It was a lot of fun and we are going back.""";Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
The worst hotel I have ever been.;1;31.10.2016;Not good at all.It needs totally renovating and redecorating since the rooms look like 30-40 years old.It looks like one star hotel.Not recommended at all.The room is small and dirty and the food very poor.Absolutely disappointing.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
GO AWAY !!!;1;25.10.2016;I've never been in a such awful hotel! Go away 5 miles around from this hotel, at least. Special I wish to emphasize hotel stuff!!! Any kind words, like we are still in a grey comunisem times!!!! Also, hotel looks like from those times... I do not want to spend any word more to describe a such place, named hotel !!!???;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Do not get what you order;2;20.09.2016;Instead of room with see view, we got Dark room with view to bushes. So we had to waste time for demanding to change the room and then got the one with see view and restaurant noisy chimny below. The photos on booking system way better than the real hotel is.Good things about hotel - free parking in their garage, free water park (but do not expect much) and quite good breakfast choice.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Staff issues;1;16.01.2016;The older lady on the reception flipped out on me for no particular reason when leaving the aquapark. Staff needs anger managament lessions. Free parking is advertised all across the property and garage doors are open upon arrival for free entrance - when leaving, they charge 5eur for parking.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Fun for kids;4;8.07.2015;I went here with my 4 year old son. It was loads of fun for him, there are 2 kids pools on the outside and a couple more on the inside, also pools for adults, water slides etc. There is also a facility in the hotel with all kinds of games for kids, driving simulators, hockey etc...The staff was very nice and helpful, and answered any of my questions with a smile. Our room was overlooking the sea, sunsets were beautiful to watch. Breakfast was good, dinner was OK. It is a great starting place to travel around slovenian coast, there are local buses that cost 2,5 eur per person and it takes around 40 minutes to get to Portoroz or Piran. Trieste, Italy is also close, 3 eur ticket, 45 mins bus drive. There is a promenade by the sea from the hotel to the old city takes about 15-20 minutes to get there. So all in all fun place for a vacation with kids.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
